n	x
1	7596.15882229
2	11367.09871534
3	10653.15828183
4	14683.63380538
5	10321.55231296
6	4547.58900207
7	14593.87400040
8	13186.47168646
9	19602.18972368
10	13810.28790387
11	8161.35915969
12	26755.35911879
13	7509.08375655
14	3589.99566818
15	5784.32916436
16	7235.86645925
17	5293.20964175
18	10972.91711826
19	12335.76448958
20	6537.56310944
21	4128.60053914
22	6903.55853031
23	15049.24016729
24	10551.18974183
25	16693.58061862
26	12487.84671000
27	6098.43986879
28	14335.22079147
29	8927.02838768
30	16661.12041330
31	7080.21435647
32	6576.55599616
33	10383.52465640
34	12477.78113938
35	13540.76749568
36	16930.35184594
37	2372.07591132
38	5863.91180812
39	13367.90377249
40	12072.99193864
41	10163.60215536
42	7039.97214445
43	9871.76006036
44	6351.44137036
45	20720.07197919
46	16461.98710430
47	3663.75961916
48	5871.23113505
49	10922.63786025
50	10469.29757715
51	6059.81230920
52	3956.34203565
53	7189.27165615
54	7345.10679621
55	8429.37212207
56	11910.46269512
57	25119.36948226
58	9108.56877048
59	8529.47696253
60	11690.03140287
61	6998.75659721
62	14075.26865200
63	12043.84768218
64	4600.20683912
65	14753.70232695
66	13963.52218362
67	8926.72303220
68	9609.99706972
69	6434.17376918
70	8770.12757527
71	17553.59513663
72	15042.23544290
73	7595.56273027
74	10208.70426934
75	5634.70897259
76	6295.18569284
77	2700.22040297
78	13933.55874671
79	7934.88744779
80	6614.17878757
81	15692.17428297
82	5984.57155653
83	5661.99574386
84	8750.80554320
85	14916.36821421
86	10857.38796019
87	6847.73641512
88	17746.36715139
89	10972.15882052
90	11979.80045319
91	14908.87036691
92	5351.45730343
93	11605.40358027
94	14814.20657466
95	3445.07243918
96	13332.89895797
97	6771.56805625
98	8552.94748746
99	6040.36546469
100	10911.18133086
101	6538.78507668
102	11536.63701324
103	8895.58537561
104	9663.68448731
105	10190.30899413
106	8113.27606970
107	7559.97235166
108	4556.57997019
109	12394.00439315
110	4868.26732992
111	7826.29922392
112	10906.47765429
113	6369.73802847
114	21380.99512155
115	11546.63780142
116	5928.07787292
117	10058.23269038
118	6809.12764367
119	7714.26897727
120	9713.21129594
121	10512.54879083
122	4507.31445410
123	2806.12909926
124	9342.51202521
125	6270.38250607
126	9608.12397519
127	11809.23876748
128	11430.92177948
129	12450.90955690
130	7333.99514198
131	8983.54399138
132	11099.09939154
133	7903.13310732
134	8293.97927882
135	9667.14893175
136	13712.20824561
137	2944.75723573
138	10154.36782883
139	6191.51647689
140	8317.90949823
141	8824.99452231
142	10248.23070948
143	17277.68988918
144	9283.31273867
145	12760.96154613
146	6151.17959501
147	11632.13443674
148	10570.39594081
149	3906.63017319
150	9470.26787858
151	4804.63762857
152	5374.33544202
153	5112.34441079
154	13462.10883813
155	11191.94005920
156	18542.51196174
157	7211.87661112
158	5291.03039418
159	8198.65616936
160	9968.59688982
161	19491.65426827
162	5504.27915226
163	3872.89717690
