n	x
1	 100006.54 
2	 99997.86 
3	 100003.38 
4	 100000.87 
5	 99993.9 
6	 99996.3 
7	 99994.35 
8	 99994.37 
9	 99995.98 
10	 100005.98 
11	 99995.05 
12	 100002.24 
13	 99998.79 
14	 99998.25 
15	 99996.63 
16	 100001.28 
17	 100004.35 
18	 99994.47 
19	 100005.35 
20	 99996.08 
21	 99995.67 
22	 99994.79 
23	 99994.03 
24	 100000.44 
25	 100001.16 
26	 100001.3 
27	 99996.71 
28	 100003.34 
29	 99999.78 
30	 99993.77 
31	 100004.69 
32	 99995.32 
33	 100008.51 
34	 99999.96 
35	 99986.09 
36	 100001.11 
37	 100005.46 
38	 100005.02 
39	 100003.98 
40	 100007.33 
41	 100004.38 
42	 100000.72 
43	 100002.72 
44	 100001.81 
45	 100005.54 
46	 100000.32 
47	 99998.24 
1	 0
1	 100006.67 
2	 99986.69 
3	 99994.78 
4	 99997.73 
5	 99999.47 
6	 99999.01 
7	 99997.4 
8	 100007.47 
9	 100003.08 
10	 99997.47 
11	 99999.01 
12	 99995.08 
13	 100003.49 
14	 100006.07 
15	 100000.14 
16	 100001.6 
17	 99996.61 
18	 100001.19 
19	 100000.15 
20	 99997.04 
21	 99995.21 
22	 100001.7 
23	 100003.38 
24	 100005.17 
25	 100002.67 
26	 100000.86 
27	 100001.1 
28	 99996.48 
29	 100006.32 
30	 100000.23 
31	 99989.04 
32	 99991.31 
33	 100005.07 
34	 100003.45 
35	 100006.75 
36	 99998.09 
37	 99993.2 
38	 99992.94 
39	 100000.11 
40	 100004.33 
41	 100001.22 
42	 99996.95 
43	 99999.53 
44	 100001.1 
45	 99992.00 
46	 99994.25 
1	 100001.73 
2	 99999.26 
3	 100003.38 
4	 100001.91 
5	 100005.19 
6	 100004.42 
7	 99989.85 
8	 100002.73 
9	 99990.58 
10	 100002.86 
11	 100005.42 
12	 99998.54 
13	 100003.41 
14	 100008.27 
15	 99994.69 
16	 99996.91 
17	 100004.32 
18	 99995.75 
19	 100013.17 
20	 100004.43 
21	 100001.45 
22	 100002.14 
23	 100000.38 
24	 100005.18 
25	 100002.09 
26	 99992.35 
27	 100005.97 
28	 100000.46 
1	 100002.75 
2	 100001.88 
3	 100010.32 
4	 100006.95 
5	 100001.88 
6	 99995.07 
7	 100001.83 
8	 99999.73 
9	 100007.89 
10	 100008.8 
11	 99994.2 
12	 100004.82 
13	 100001.14 
14	 100001.76 
15	 99998.26 
16	 100014.73 
17	 100000.49 
18	 100005.43 
19	 99997.04 
20	 100003.88 
21	 99996.73 
22	 100007.35 
23	 99999.33 
24	 100006.46 
25	 100004.69 
26	 100000.46 
27	 100005.61 
28	 100000.82 
29	 99991.74 
30	 100000.31 
31	 99996.87 
32	 99997.16 
33	 100007.05 
34	 99997.81 
35	 100009.09 
36	 100007.47 
37	 99999.25 
38	 100000.64 
39	 100005.92 
40	 99993.69 
41	 100001.45 
42	 99995.96 
43	 99990.04 
44	 100006.37 
45	 99999.46 
46	 100005.7 
47	 100002.09 
48	 99993.65 
49	 100005.3 
50	 99998.31 
51	 100003.81 
52	 100006.37 
53	 100007.62 
54	 100009.26 
55	 99998.19 
56	 100004.26 
57	 100007.77 
58	 99993.8 
59	 99997.27 
60	 100006.36 
61	 100003.46 
62	 99992.23 
63	 100003.28 
64	 99996.54 
65	 99999.49 
66	 99995.19 
67	 99996.9 
68	 100002.88 
69	 99993.00 
70	 100003.93 
71	 100001.65 
72	 100000.89 
73	 100004.31 
74	 100009.82 
75	 99995.93 
76	 100001.26 
77	 99995.13 
78	 99997.94 
79	 100002.04 
80	 100001.34 
81	 100001.00 
82	 100001.18 
83	 100005.22 
84	 100002.2 
85	 100003.83 
86	 100004.11 
87	 99994.08 
88	 100005.81 
89	 100005.92 
90	 100004.32 
91	 99993.19 
92	 100004.64 
93	 100001.67 
94	 100000.16 
95	 100001.53 
96	 99999.96 
97	 99999.53 
98	 100003.8 
99	 100004.11 
100	 100000.41 
101	 100002.97 
102	 99992.00 
103	 100001.97 
104	 99994.21 
1	 100010.24 
2	 100005.7 
3	 99993.00 
4	 99994.06 
5	 99996.45 
6	 99999.71 
7	 99992.06 
8	 99994.45 
9	 100000.59 
10	 100005.62 
11	 99998.41 
12	 100008.22 
13	 99995.41 
14	 99993.61 
15	 100008.44 
16	 100001.45 
17	 100005.3 
18	 99990.62 
19	 99998.52 
20	 99994.71 
21	 100009.25 
22	 100005.16 
23	 100000.02 
24	 99996.5 
25	 99997.66 
26	 99988.61 
27	 100003.01 
28	 99997.35 
29	 100000.78 
30	 100016.34 
31	 100001.92 
32	 99993.84 
33	 99992.39 
34	 99998.49 
35	 99994.85 
36	 100008.19 
37	 100000.27 
38	 99995.18 
39	 99997.9 
40	 100000.5 
41	 100002.49 
42	 100005.66 
43	 99998.14 
44	 100002.16 
45	 10000.00 
46	 99997.95 
47	 99999.99 
48	 99993.93 
49	 100001.19 
50	 99988.69 
51	 99996.17 
52	 100001.92 
53	 100013.13 
54	 100004.14 
55	 100000.83 
56	 100006.23 
57	 99989.52 
1	 100011.48 
2	 100003.94 
3	 100004.3 
4	 100007.96 
5	 100003.01 
6	 100001.78 
7	 99997.77 
8	 99995.91 
9	 99986.28 
10	 100010.53 
11	 99996.02 
12	 100005.32 
13	 100000.83 
14	 99999.34 
1	 100003.99 
2	 99994.87 
3	 99987.62 
4	 100007.1 
5	 99989.66 
6	 99991.79 
7	 100003.42 
8	 100007.22 
9	 100001.39 
10	 99989.29 
11	 100000.77 
12	 99995.62 
13	 100000.87 
14	 100003.03 
15	 99991.09 
16	 100004.36 
17	 99998.01 
18	 99997.05 
19	 100000.98 
20	 99995.83 
21	 100000.26 
22	 100004.98 
23	 99995.29 
24	 99996.09 
25	 99999.27 
26	 99994.87 
27	 99994.15 
28	 99992.07 
29	 100003.93 
30	 100004.24 
31	 99999.22 
32	 99993.31 
33	 99998.41 
34	 100001.3 
35	 100004.59 
36	 99989.17 
37	 99995.42 
38	 100004.91 
39	 99990.62 
40	 99996.23 
41	 99999.25 
42	 99999.17 
43	 99999.01 
44	 100000.65 
45	 99995.55 
46	 100003.7 
47	 99995.92 
48	 100006.09 
49	 100000.11 
50	 99999.59 
51	 100005.41 
52	 99999.86 
53	 100003.94 
54	 99999.24 
55	 100004.18 
56	 100001.27 
57	 99997.57 
58	 100005.35 
59	 100005.25 
60	 99994.9 
61	 99996.87 
62	 99998.91 
63	 100008.1 
64	 100001.08 
65	 99990.38 
66	 100000.03 
67	 99995.76 
68	 100003.74 
69	 100006.3 
70	 99996.63 
71	 99999.69 
72	 100003.41 
73	 99995.6 
74	 99999.29 
75	 100001.5 
76	 100006.41 
77	 100011.01 
78	 99996.95 
79	 99995.81 
80	 99990.86 
81	 99999.66 
82	 100009.84 
83	 100001.97 
84	 100000.84 
85	 99998.88 
86	 99997.83 
87	 100000.47 
88	 100011.39 
89	 99999.48 
90	 100001.47 
91	 100004.93 
92	 99999.63 
93	 100001.53 
94	 100005.56 
95	 99991.38 
96	 99997.55 
97	 100003.69 
98	 100006.92 
99	 99995.01 
100	 99995.74 
1	 99999.38 
2	 99995.96 
3	 99998.96 
4	 99998.27 
5	 99996.71 
6	 99991.18 
7	 99997.11 
8	 99999.88 
1	 99992.49 
2	 99997.3 
3	 99984.46 
4	 99998.84 
5	 100000.01 
6	 99993.81 
7	 100013.19 
8	 100000.92 
1	 99998.2 
2	 99997.62 
3	 100006.08 
1	 99991.14 
2	 99999.13 
3	 99996.88 
4	 100000.05 
5	 100002.73 
6	 100000.76 
7	 100009.47 
8	 100004.49 
9	 100004.33 
10	 100000.39 
11	 99998.05 
12	 100002.66 
13	 100006.57 
14	 99992.11 
15	 100000.14 
16	 99998.63 
17	 99998.38 
18	 99995.1 
19	 99992.9 
20	 99997.2 
21	 100001.65 
22	 99993.44 
23	 100003.06 
24	 100000.57 
25	 100005.75 
26	 100002.08 
27	 100003.64 
28	 100000.27 
29	 100000.24 
30	 99997.31 
31	 100007.99 
32	 100007.82 
33	 100002.04 
34	 100003.15 
35	 99995.09 
36	 99999.01 
37	 100004.15 
38	 99990.08 
39	 100010.72 
