"","x"
"1",4.461
"2",38.69
"3",19.217
"4",3.295
"5",2.374
"6",5.028
"7",44.857
"8",8.935
"9",8.25
"10",3.338
"11",2.119
"12",38.127
"13",1.431
"14",2.981
"15",26.104
"16",2.045
"17",7.838
"18",27.877
"19",1.554
"20",7.896
"21",24.767
"22",25.276
"23",8.89
"24",34.351
"25",4.307
"26",25.106
"27",42.342
"28",8.363
"29",2.718
"30",1.212
"31",8.35
"32",9.115
"33",3.157
"34",969
"35",759
"36",1.8
"37",31.695
"38",4.678
"39",1.631
"40",1.533
"41",12.294
"42",3.994
"43",7.278
"44",4.645
"45",8.882
"46",6.224
"47",867
"48",9.526
"49",37.163
"50",50.701
"51",4.179
"52",3.622
"53",1.738
"54",6.891
"55",6.803
"56",974
"57",5.877
"58",6.175
"59",2.235
"60",7.437
"61",7.65
"62",19.385
"63",25.147
"64",1.175
"65",17.445
"66",5.537
"67",3.573
"68",9.873
"69",1.507
"70",1.78
"71",5.958
"72",8.45
"73",35.666
"74",9.592
"75",8.948
"76",28.026
"77",35.879
"78",6.836
"79",8.569
"80",3.46
"81",8.623
"82",5.486
"83",4.47
"84",7.462
"85",722
"86",2.797
"87",35.577
"88",4.418
"89",2.592
"90",2.631
"91",9.062
"92",7.628
"93",4.276
"94",3.738
"95",5.253
"96",45.574
"97",9.462
"98",6.544
"99",7.504
"100",1.052
"101",9.419
"102",10.099
"103",6.689
"104",4.117
"105",9.768
"106",10.177
"107",10.52
"108",20.452
"109",19.03
"110",10.231
"111",4.784
"112",35.43
"113",10.851
"114",6.913
"115",9.261
"116",5.771
"117",5.039
"118",7.767
"119",1.316
"120",8.185
"121",4.769
"122",41.818
"123",663
"124",1.197
"125",1.937
"126",7.401
"127",27.13
"128",5.702
"129",41.913
"130",4.263
"131",10.375
"132",2.219
"133",2.949
"134",8.118
"135",5.658
"136",5.489
"137",17.493
"138",4.048
"139",3.32
"140",7.181
"141",3.913
"142",5.137
"143",1.332
"144",3.288
"145",4.188
"146",8.035
"147",4.5
"148",3.575
"149",4.75
"150",3.769
"151",1.079
"152",8.174
"153",11.279
"154",3.4
"155",6.183
"156",1.83
"157",3.614
"158",36.556
"159",5.299
