"","x"
"1",99991.14
"2",99999.13
"3",99996.88
"4",100000.05
"5",100002.73
"6",100000.76
"7",100009.47
"8",100004.49
"9",100004.33
"10",100000.39
"11",99998.05
"12",100002.66
"13",100006.57
"14",99992.11
"15",100000.14
"16",99998.63
"17",99998.38
"18",99995.1
"19",99992.9
"20",99997.2
"21",100001.65
"22",99993.44
"23",100003.06
"24",100000.57
"25",100005.75
"26",100002.08
"27",100003.64
"28",100000.27
"29",100000.24
"30",99997.31
"31",100007.99
"32",100007.82
"33",100002.04
"34",100003.15
"35",99995.09
"36",99999.01
"37",100004.15
"38",99990.08
"39",100010.72
