"","x"
"1",100003.99
"2",99994.87
"3",99987.62
"4",100007.1
"5",99989.66
"6",99991.79
"7",100003.42
"8",100007.22
"9",100001.39
"10",99989.29
"11",100000.77
"12",99995.62
"13",100000.87
"14",100003.03
"15",99991.09
"16",100004.36
"17",99998.01
"18",99997.05
"19",100000.98
"20",99995.83
"21",100000.26
"22",100004.98
"23",99995.29
"24",99996.09
"25",99999.27
"26",99994.87
"27",99994.15
"28",99992.07
"29",100003.93
"30",100004.24
"31",99999.22
"32",99993.31
"33",99998.41
"34",100001.3
"35",100004.59
"36",99989.17
"37",99995.42
"38",100004.91
"39",99990.62
"40",99996.23
"41",99999.25
"42",99999.17
"43",99999.01
"44",100000.65
"45",99995.55
"46",100003.7
"47",99995.92
"48",100006.09
"49",100000.11
"50",99999.59
"51",100005.41
"52",99999.86
"53",100003.94
"54",99999.24
"55",100004.18
"56",100001.27
"57",99997.57
"58",100005.35
"59",100005.25
"60",99994.9
"61",99996.87
"62",99998.91
"63",100008.1
"64",100001.08
"65",99990.38
"66",100000.03
"67",99995.76
"68",100003.74
"69",100006.3
"70",99996.63
"71",99999.69
"72",100003.41
"73",99995.6
"74",99999.29
"75",100001.5
"76",100006.41
"77",100011.01
"78",99996.95
"79",99995.81
"80",99990.86
"81",99999.66
"82",100009.84
"83",100001.97
"84",100000.84
"85",99998.88
"86",99997.83
"87",100000.47
"88",100011.39
"89",99999.48
"90",100001.47
"91",100004.93
"92",99999.63
"93",100001.53
"94",100005.56
"95",99991.38
"96",99997.55
"97",100003.69
"98",100006.92
"99",99995.01
"100",99995.74
